/home/samuele.angheben/vr_env/lib64/python3.9/site-packages/networkx/utils/backends.py:135: RuntimeWarning: networkx backend defined more than once: nx-loopback
  backends.update(_get_backends("networkx.backends"))
Loaded dataset with categories: ['Faces', 'Faces_easy', 'Leopards', 'Motorbikes', 'accordion', 'airplanes', 'anchor', 'ant', 'barrel', 'bass', 'beaver', 'binocular', 'bonsai', 'brain', 'brontosaurus', 'buddha', 'butterfly', 'camera', 'cannon', 'car_side', 'ceiling_fan', 'cellphone', 'chair', 'chandelier', 'cougar_body', 'cougar_face', 'crab', 'crayfish', 'crocodile', 'crocodile_head', 'cup', 'dalmatian', 'dollar_bill', 'dolphin', 'dragonfly', 'electric_guitar', 'elephant', 'emu', 'euphonium', 'ewer', 'ferry', 'flamingo', 'flamingo_head', 'garfield', 'gerenuk', 'gramophone', 'grand_piano', 'hawksbill', 'headphone', 'hedgehog', 'helicopter', 'ibis', 'inline_skate', 'joshua_tree', 'kangaroo', 'ketch', 'lamp', 'laptop', 'llama', 'lobster', 'lotus', 'mandolin', 'mayfly', 'menorah', 'metronome', 'minaret', 'nautilus', 'octopus', 'okapi', 'pagoda', 'panda', 'pigeon', 'pizza', 'platypus', 'pyramid', 'revolver', 'rhino', 'rooster', 'saxophone', 'schooner', 'scissors', 'scorpion', 'sea_horse', 'snoopy', 'soccer_ball', 'stapler', 'starfish', 'stegosaurus', 'stop_sign', 'strawberry', 'sunflower', 'tick', 'trilobite', 'umbrella', 'watch', 'water_lilly', 'wheelchair', 'wild_cat', 'windsor_chair', 'wrench', 'yin_yang']
 Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s] Loading checkpoint shards:  50%|█████     | 1/2 [00:00<00:00,  1.44it/s] Loading checkpoint shards: 100%|██████████| 2/2 [00:01<00:00,  1.66it/s] Loading checkpoint shards: 100%|██████████| 2/2 [00:01<00:00,  1.62it/s]
Using a slow image processor as `use_fast` is unset and a slow processor was saved with this model. `use_fast=True` will be the default behavior in v4.52, even if the model was saved with a slow processor. This will result in minor differences in outputs. You'll still be able to use a slow processor with `use_fast=False`.
[prompt4] Example 2250: label=tick, prediction=Tick, Ixodes scapularis [✓ CORRECT]
[prompt4] Example 2251: label=tick, prediction=Tick, Ixodes scapularis, Blacklegged tick [✓ CORRECT]
[prompt4] Example 2252: label=tick, prediction=Insect, Arachnid, Parasite [✗ WRONG]
[prompt4] Example 2253: label=tick, prediction=Tick, Ixodes scapularis [✓ CORRECT]
[prompt4] Example 2254: label=tick, prediction=Tick, arachnid, ectoparasite. [✓ CORRECT]
[prompt4] Example 2255: label=tick, prediction=Tick. [✓ CORRECT]
[prompt4] Example 2256: label=tick, prediction=Tick, insect, arachnid. [✓ CORRECT]
[prompt4] Example 2257: label=tick, prediction=Tick. [✓ CORRECT]
[prompt4] Example 2258: label=tick, prediction=Tick [✓ CORRECT]
[prompt4] Example 2259: label=tick, prediction=Tick, Ixodes scapularis [✓ CORRECT]
[prompt4] Example 2260: label=tick, prediction=Tick, Ixodes scapularis. [✓ CORRECT]
[prompt4] Example 2261: label=trilobite, prediction=Fossil trilobite. [✓ CORRECT]
[prompt4] Example 2262: label=trilobite, prediction=Fossil trilobite. [✓ CORRECT]
[prompt4] Example 2263: label=trilobite, prediction=Fossil trilobite. [✓ CORRECT]
[prompt4] Example 2264: label=trilobite, prediction=Fossil trilobite. [✓ CORRECT]
[prompt4] Example 2265: label=trilobite, prediction=Fossil trilobite. [✓ CORRECT]
[prompt4] Example 2266: label=trilobite, prediction=Cornbread [✗ WRONG]
[prompt4] Example 2267: label=trilobite, prediction=Fossil trilobite. [✓ CORRECT]
[prompt4] Example 2268: label=trilobite, prediction=Fossilized trilobite. [✓ CORRECT]
[prompt4] Example 2269: label=trilobite, prediction=Fossilized trilobite. [✓ CORRECT]
[prompt4] Example 2270: label=trilobite, prediction=Fossil trilobite. [✓ CORRECT]
[prompt4] Example 2271: label=trilobite, prediction=Fossil trilobite. [✓ CORRECT]
[prompt4] Example 2272: label=trilobite, prediction=Fossilized trilobite shell. [✓ CORRECT]
[prompt4] Example 2273: label=trilobite, prediction=Mollusk, shell, snail. [✗ WRONG]
[prompt4] Example 2274: label=trilobite, prediction=Ammonite fossil. [✗ WRONG]
[prompt4] Example 2275: label=trilobite, prediction=Spiny. [✗ WRONG]
[prompt4] Example 2276: label=trilobite, prediction=Fossilized trilobite. [✓ CORRECT]
[prompt4] Example 2277: label=trilobite, prediction=Fossilized organism. [✗ WRONG]
[prompt4] Example 2278: label=trilobite, prediction=Trilobite fossil. [✓ CORRECT]
[prompt4] Example 2279: label=trilobite, prediction=Fossilized trilobite. [✓ CORRECT]
[prompt4] Example 2280: label=trilobite, prediction=Fossilized trilobite shell. [✓ CORRECT]
[prompt4] Example 2281: label=trilobite, prediction=Fossilized trilobite. [✓ CORRECT]
[prompt4] Example 2282: label=trilobite, prediction=Fossil trilobite. [✓ CORRECT]
[prompt4] Example 2283: label=trilobite, prediction=Knitted bootie [✗ WRONG]
[prompt4] Example 2284: label=trilobite, prediction=Fossil trilobite. [✓ CORRECT]
[prompt4] Example 2285: label=trilobite, prediction=Fossilized trilobite. [✓ CORRECT]
[prompt4] Example 2286: label=trilobite, prediction=Fossilized trilobite. [✓ CORRECT]
[prompt4] Example 2287: label=umbrella, prediction=Newspaper umbrella [✓ CORRECT]
[prompt4] Example 2288: label=umbrella, prediction=Umbrella, blue, open. [✓ CORRECT]
[prompt4] Example 2289: label=umbrella, prediction=Parachute [✗ WRONG]
[prompt4] Example 2290: label=umbrella, prediction=umbrella, table, chairs [✓ CORRECT]
[prompt4] Example 2291: label=umbrella, prediction=Umbrella, Beach umbrella, Parasol [✓ CORRECT]
[prompt4] Example 2292: label=umbrella, prediction=Umbrella, boots, painting [✓ CORRECT]
[prompt4] Example 2293: label=umbrella, prediction=Umbrella [✓ CORRECT]
[prompt4] Example 2294: label=umbrella, prediction=Umbrella [✓ CORRECT]
[prompt4] Example 2295: label=umbrella, prediction=Beach umbrella. [✓ CORRECT]
[prompt4] Example 2296: label=umbrella, prediction=Umbrella. [✓ CORRECT]
[prompt4] Example 2297: label=umbrella, prediction=BVDV umbrella [✓ CORRECT]
[prompt4] Example 2298: label=umbrella, prediction=Umbrella, Rain, Protection [✓ CORRECT]
[prompt4] Example 2299: label=umbrella, prediction=Umbrella, floral, yellow [✓ CORRECT]
[prompt4] Example 2300: label=umbrella, prediction=umbrella, blue, open [✓ CORRECT]
[prompt4] Example 2301: label=umbrella, prediction=umbrella, jaguar, rain [✓ CORRECT]
[prompt4] Example 2302: label=umbrella, prediction=Umbrella, Blue and white, Opened. [✓ CORRECT]
[prompt4] Example 2303: label=umbrella, prediction=Umbrella [✓ CORRECT]
[prompt4] Example 2304: label=umbrella, prediction=Umbrella, beach, ocean view. [✓ CORRECT]
[prompt4] Example 2305: label=umbrella, prediction=umbrella [✓ CORRECT]
[prompt4] Example 2306: label=umbrella, prediction=umbrella [✓ CORRECT]
[prompt4] Example 2307: label=umbrella, prediction=Red umbrella. [✓ CORRECT]
[prompt4] Example 2308: label=umbrella, prediction=Beach umbrella, beach chairs, ocean view. [✓ CORRECT]
[prompt4] Example 2309: label=watch, prediction=Watch, wristwatch, analog watch [✓ CORRECT]
[prompt4] Example 2310: label=watch, prediction=Watch, wristwatch, analog watch [✓ CORRECT]
[prompt4] Example 2311: label=watch, prediction=Watch, wristwatch, timepiece [✓ CORRECT]
[prompt4] Example 2312: label=watch, prediction=Wristwatch, digital, colorful. [✗ WRONG]
[prompt4] Example 2313: label=watch, prediction=Watch, wristwatch, analog watch. [✓ CORRECT]
[prompt4] Example 2314: label=watch, prediction=Watch, wristwatch, timepiece. [✓ CORRECT]
[prompt4] Example 2315: label=watch, prediction=Watch, wristwatch, timepiece [✓ CORRECT]
[prompt4] Example 2316: label=watch, prediction=Watch, wristwatch, analog watch. [✓ CORRECT]
[prompt4] Example 2317: label=watch, prediction=Watch, Rolex, Stainless Steel. [✓ CORRECT]
[prompt4] Example 2318: label=watch, prediction=Watch, Rolex, Submariner. [✓ CORRECT]
[prompt4] Example 2319: label=watch, prediction=Watch, luxury, gold. [✓ CORRECT]
[prompt4] Example 2320: label=watch, prediction=Watch, wristwatch, timepiece. [✓ CORRECT]
[prompt4] Example 2321: label=watch, prediction=Watch, Rolex, Blue Dial [✓ CORRECT]
[prompt4] Example 2322: label=watch, prediction=Watch, Rolex, Stainless Steel [✓ CORRECT]
[prompt4] Example 2323: label=watch, prediction=Watch, Rolex, Datejust. [✓ CORRECT]
[prompt4] Example 2324: label=watch, prediction=Gold watch, elegant, wristwatch. [✓ CORRECT]
[prompt4] Example 2325: label=watch, prediction=Watch, wristwatch, timepiece. [✓ CORRECT]
[prompt4] Example 2326: label=watch, prediction=Watch, wristwatch, timepiece. [✓ CORRECT]
[prompt4] Example 2327: label=watch, prediction=Watch, wristwatch, timepiece. [✓ CORRECT]
[prompt4] Example 2328: label=watch, prediction=Watch, wristwatch, timepiece. [✓ CORRECT]
[prompt4] Example 2329: label=watch, prediction=Watch, Rolex, Wristwatch [✓ CORRECT]
[prompt4] Example 2330: label=watch, prediction=Watch, vintage, gold-plated. [✓ CORRECT]
[prompt4] Example 2331: label=watch, prediction=Watch, wristwatch, chronograph. [✓ CORRECT]
[prompt4] Example 2332: label=watch, prediction=Watch, wristwatch, timepiece. [✓ CORRECT]
[prompt4] Example 2333: label=watch, prediction=Watch, wristwatch, analog watch. [✓ CORRECT]
[prompt4] Example 2334: label=watch, prediction=Watch, wristwatch, timepiece. [✓ CORRECT]
[prompt4] Example 2335: label=watch, prediction=Watch, wristwatch, timepiece. [✓ CORRECT]
[prompt4] Example 2336: label=watch, prediction=Watch, wristwatch, timepiece. [✓ CORRECT]
[prompt4] Example 2337: label=watch, prediction=Watch, wristwatch, timepiece. [✓ CORRECT]
[prompt4] Example 2338: label=watch, prediction=Wristwatch, Seiko, Stainless Steel [✗ WRONG]
[prompt4] Example 2339: label=watch, prediction=Watch, wristwatch, analog watch. [✓ CORRECT]
[prompt4] Example 2340: label=watch, prediction=Watch, wristwatch, analog watch. [✓ CORRECT]
[prompt4] Example 2341: label=watch, prediction=Watch, wristwatch, timepiece [✓ CORRECT]
[prompt4] Example 2342: label=watch, prediction=Watch, leather strap, shell case. [✓ CORRECT]
[prompt4] Example 2343: label=watch, prediction=Watch, wristwatch, analog watch. [✓ CORRECT]
[prompt4] Example 2344: label=watch, prediction=Watch, wristwatch, timepiece. [✓ CORRECT]
[prompt4] Example 2345: label=watch, prediction=Gold watch, Seiko, wristwatch. [✓ CORRECT]
[prompt4] Example 2346: label=watch, prediction=Watch, wristwatch, chronograph. [✓ CORRECT]
[prompt4] Example 2347: label=watch, prediction=Watch, wristwatch, timepiece. [✓ CORRECT]
[prompt4] Example 2348: label=watch, prediction=Watch [✓ CORRECT]
[prompt4] Example 2349: label=watch, prediction=Watch, wristwatch, timepiece. [✓ CORRECT]
[prompt4] Example 2350: label=watch, prediction=Watch, wristwatch, timepiece. [✓ CORRECT]
[prompt4] Example 2351: label=watch, prediction=Watch, wristwatch, gold. [✓ CORRECT]
[prompt4] Example 2352: label=watch, prediction=Watch, wristwatch, gold. [✓ CORRECT]
[prompt4] Example 2353: label=watch, prediction=Watch, wristwatch, timepiece. [✓ CORRECT]
[prompt4] Example 2354: label=watch, prediction=Watch, wristwatch, timepiece. [✓ CORRECT]
[prompt4] Example 2355: label=watch, prediction=Watch, wristwatch, chronograph. [✓ CORRECT]
[prompt4] Example 2356: label=watch, prediction=Watch, wristwatch, mechanical. [✓ CORRECT]
[prompt4] Example 2357: label=watch, prediction=Watch, wristwatch, timepiece. [✓ CORRECT]
[prompt4] Example 2358: label=watch, prediction=Watch, wristwatch, timepiece. [✓ CORRECT]
[prompt4] Example 2359: label=watch, prediction=Watch, wristwatch, vintage. [✓ CORRECT]
[prompt4] Example 2360: label=watch, prediction=Digital watch [✓ CORRECT]
[prompt4] Example 2361: label=watch, prediction=Watch, wristwatch, timepiece. [✓ CORRECT]
[prompt4] Example 2362: label=watch, prediction=Watch, wristwatch, analog watch. [✓ CORRECT]
[prompt4] Example 2363: label=watch, prediction=Watch, wristwatch, timepiece. [✓ CORRECT]
[prompt4] Example 2364: label=watch, prediction=Watch, wristwatch, timepiece [✓ CORRECT]
[prompt4] Example 2365: label=watch, prediction=Watch, wristwatch, gold-plated. [✓ CORRECT]
[prompt4] Example 2366: label=watch, prediction=Watch, wristwatch, analog watch. [✓ CORRECT]
[prompt4] Example 2367: label=watch, prediction=Watch, wristwatch, timepiece. [✓ CORRECT]
[prompt4] Example 2368: label=watch, prediction=Watch, wristwatch, Longines. [✓ CORRECT]
[prompt4] Example 2369: label=watch, prediction=Watch, wristwatch, timepiece. [✓ CORRECT]
[prompt4] Example 2370: label=watch, prediction=Watch, wristwatch, analog watch [✓ CORRECT]
[prompt4] Example 2371: label=watch, prediction=Watch, wristwatch, timepiece. [✓ CORRECT]
[prompt4] Example 2372: label=watch, prediction=Watch, wristwatch, chronograph. [✓ CORRECT]
[prompt4] Example 2373: label=watch, prediction=Watch, wristwatch, timepiece. [✓ CORRECT]
[prompt4] Example 2374: label=watch, prediction=Gold watch with pink face. [✓ CORRECT]
[prompt4] Example 2375: label=watch, prediction=Watch, wristwatch, timepiece. [✓ CORRECT]
[prompt4] Example 2376: label=watch, prediction=Watch, wristwatch, timepiece. [✓ CORRECT]
[prompt4] Example 2377: label=watch, prediction=Watch, wristwatch, timepiece. [✓ CORRECT]
[prompt4] Example 2378: label=watch, prediction=Watch, wristwatch, timepiece. [✓ CORRECT]
[prompt4] Example 2379: label=watch, prediction=Watch, wristwatch, analog watch. [✓ CORRECT]
[prompt4] Example 2380: label=water_lilly, prediction=Yellow flower, blooming, green stem. [✗ WRONG]
[prompt4] Example 2381: label=water_lilly, prediction=Pink flower, Lotus, Water lily. [✗ WRONG]
[prompt4] Example 2382: label=water_lilly, prediction=Water lily flower. [✗ WRONG]
[prompt4] Example 2383: label=water_lilly, prediction=White flower, yellow center, green leaves. [✗ WRONG]
[prompt4] Example 2384: label=water_lilly, prediction=Flower, Lotus, Pink [✗ WRONG]
[prompt4] Example 2385: label=water_lilly, prediction=Yellow flowers, green leaves. [✗ WRONG]
[prompt4] Example 2386: label=water_lilly, prediction=White flower, Lotus, Water lily. [✗ WRONG]
[prompt4] Example 2387: label=water_lilly, prediction=Water lily flower. [✗ WRONG]
[prompt4] Example 2388: label=water_lilly, prediction=Water lily. [✗ WRONG]
[prompt4] Example 2389: label=water_lilly, prediction=White flower, Lotus, Water lily. [✗ WRONG]
[prompt4] Example 2390: label=water_lilly, prediction=Flower, Lily, White. [✗ WRONG]
[prompt4] Example 2391: label=water_lilly, prediction=Water lily. [✗ WRONG]
[prompt4] Example 2392: label=wheelchair, prediction=Wheelchair frog. [✓ CORRECT]
[prompt4] Example 2393: label=wheelchair, prediction=Wheelchair, mobility aid, transport chair [✓ CORRECT]
[prompt4] Example 2394: label=wheelchair, prediction=wheelchair [✓ CORRECT]
[prompt4] Example 2395: label=wheelchair, prediction=Wheelchair [✓ CORRECT]
[prompt4] Example 2396: label=wheelchair, prediction=Wheelchair. [✓ CORRECT]
[prompt4] Example 2397: label=wheelchair, prediction=Wheelchair. [✓ CORRECT]
[prompt4] Example 2398: label=wheelchair, prediction=Wheelchair [✓ CORRECT]
[prompt4] Example 2399: label=wheelchair, prediction=Wheelchair. [✓ CORRECT]
[prompt4] Example 2400: label=wheelchair, prediction=Wheelchair. [✓ CORRECT]
[prompt4] Example 2401: label=wheelchair, prediction=Wheelchair. [✓ CORRECT]
[prompt4] Example 2402: label=wheelchair, prediction=Wheelchair, person, woman [✓ CORRECT]
[prompt4] Example 2403: label=wheelchair, prediction=Wheelchair. [✓ CORRECT]
[prompt4] Example 2404: label=wheelchair, prediction=Wheelchair. [✓ CORRECT]
[prompt4] Example 2405: label=wheelchair, prediction=Electric wheelchair. [✓ CORRECT]
[prompt4] Example 2406: label=wheelchair, prediction=Wheelchair. [✓ CORRECT]
[prompt4] Example 2407: label=wheelchair, prediction=Wheelchair, mobility aid, electric wheelchair [✓ CORRECT]
[prompt4] Example 2408: label=wheelchair, prediction=Wheelchair. [✓ CORRECT]
[prompt4] Example 2409: label=wild_cat, prediction=Cat, Leopard, Wild Cat [✓ CORRECT]
[prompt4] Example 2410: label=wild_cat, prediction=Cat, Feline, Felidae [✗ WRONG]
[prompt4] Example 2411: label=wild_cat, prediction=Cat, Leopard, Feline [✗ WRONG]
[prompt4] Example 2412: label=wild_cat, prediction=Leopard cat [✗ WRONG]
[prompt4] Example 2413: label=wild_cat, prediction=Cat, Wild, Leopard. [✓ CORRECT]
[prompt4] Example 2414: label=wild_cat, prediction=Cat, Feline, Leopard. [✗ WRONG]
[prompt4] Example 2415: label=wild_cat, prediction=Cat. [✗ WRONG]
[prompt4] Example 2416: label=wild_cat, prediction=Cat, Feline, Felidae [✗ WRONG]
[prompt4] Example 2417: label=wild_cat, prediction=Snowy mountain cat. [✗ WRONG]
[prompt4] Example 2418: label=wild_cat, prediction=Cat, Feline, Felidae [✗ WRONG]
[prompt4] Example 2419: label=windsor_chair, prediction=Wooden chair. [✗ WRONG]
[prompt4] Example 2420: label=windsor_chair, prediction=Chair, wooden, antique. [✗ WRONG]
[prompt4] Example 2421: label=windsor_chair, prediction=Wooden chair [✗ WRONG]
[prompt4] Example 2422: label=windsor_chair, prediction=Wooden chair with woven seat. [✗ WRONG]
[prompt4] Example 2423: label=windsor_chair, prediction=Furniture, Chair, Vintage [✗ WRONG]
[prompt4] Example 2424: label=windsor_chair, prediction=Chair, wooden, antique [✗ WRONG]
[prompt4] Example 2425: label=windsor_chair, prediction=Chair, Windsor, Black [✓ CORRECT]
[prompt4] Example 2426: label=windsor_chair, prediction=Rocking chair. [✗ WRONG]
[prompt4] Example 2427: label=windsor_chair, prediction=wooden chair [✗ WRONG]
[prompt4] Example 2428: label=windsor_chair, prediction=Wicker chair. [✗ WRONG]
[prompt4] Example 2429: label=windsor_chair, prediction=Wooden chair. [✗ WRONG]
[prompt4] Example 2430: label=windsor_chair, prediction=Wooden chair. [✗ WRONG]
[prompt4] Example 2431: label=windsor_chair, prediction=Wooden chair. [✗ WRONG]
[prompt4] Example 2432: label=windsor_chair, prediction=Chair [✗ WRONG]
[prompt4] Example 2433: label=windsor_chair, prediction=Black armchair. [✗ WRONG]
[prompt4] Example 2434: label=windsor_chair, prediction=Wooden chair. [✗ WRONG]
[prompt4] Example 2435: label=windsor_chair, prediction=Chair [✗ WRONG]
[prompt4] Example 2436: label=wrench, prediction=Wrench, tool, hand tool [✓ CORRECT]
[prompt4] Example 2437: label=wrench, prediction=Wrench, adjustable, tool [✓ CORRECT]
[prompt4] Example 2438: label=wrench, prediction=Wrench, spanner, tool. [✓ CORRECT]
[prompt4] Example 2439: label=wrench, prediction=Wrench, tool, repair. [✓ CORRECT]
[prompt4] Example 2440: label=wrench, prediction=Wrench, adjustable, spanner [✓ CORRECT]
[prompt4] Example 2441: label=wrench, prediction=Wrench, tool, repair. [✓ CORRECT]
[prompt4] Example 2442: label=wrench, prediction=Wrench, tool, adjustable wrench [✓ CORRECT]
[prompt4] Example 2443: label=wrench, prediction=Wrench, adjustable, tool [✓ CORRECT]
[prompt4] Example 2444: label=wrench, prediction=Wrench, tool, metal. [✓ CORRECT]
[prompt4] Example 2445: label=wrench, prediction=Wrench, spanner, tool. [✓ CORRECT]
[prompt4] Example 2446: label=wrench, prediction=Caliper, measuring tool. [✗ WRONG]
[prompt4] Example 2447: label=yin_yang, prediction=Taoism symbol, Yin-Yang, Chinese philosophy. [✓ CORRECT]
[prompt4] Example 2448: label=yin_yang, prediction=Taoism symbol [✗ WRONG]
[prompt4] Example 2449: label=yin_yang, prediction=Yin-Yang symbol [✓ CORRECT]
[prompt4] Example 2450: label=yin_yang, prediction=Tie clip, tie bar, tie holder. [✗ WRONG]
[prompt4] Example 2451: label=yin_yang, prediction=Yin-Yang symbol. [✓ CORRECT]
[prompt4] Example 2452: label=yin_yang, prediction=Yin-Yang symbol. [✓ CORRECT]
[prompt4] Example 2453: label=yin_yang, prediction=Tennis ball, racket, sports equipment. [✗ WRONG]
[prompt4] Example 2454: label=yin_yang, prediction=Yin-Yang symbol. [✓ CORRECT]
[prompt4] Example 2455: label=yin_yang, prediction=Yin-Yang symbol with ball. [✓ CORRECT]
[prompt4] Example 2456: label=yin_yang, prediction=Yin-Yang symbol. [✓ CORRECT]
[prompt4] Example 2457: label=yin_yang, prediction=Yin-Yang symbol [✓ CORRECT]
[prompt4] Example 2458: label=yin_yang, prediction=Yang symptoms, Yin symptoms [✓ CORRECT]
[prompt4] Example 2459: label=yin_yang, prediction=Taoism symbol [✗ WRONG]
[prompt4] Example 2460: label=yin_yang, prediction=Yin-Yang symbol. [✓ CORRECT]
[prompt4] Example 2461: label=yin_yang, prediction=Taoist symbol, Yin-Yang, balance. [✓ CORRECT]
[prompt4] Example 2462: label=yin_yang, prediction=Yin-Yang symbol. [✓ CORRECT]
[prompt4] Example 2463: label=yin_yang, prediction=Yin-Yang symbol [✓ CORRECT]
[prompt4] Example 2464: label=yin_yang, prediction=Yin-Yang symbol [✓ CORRECT]
Saved predictions to /home/samuele.angheben/vision-reasoning/qwen_caltech_set/outputs/predictions_prompt4.txt
Processing prompt5: 'Open-world classification: Name the object in 1 to 3 words.' (reasoning=False)
[prompt5] Example 0: label=Faces, prediction=Person [✗ WRONG]
[prompt5] Example 1: label=Faces, prediction=Window [✗ WRONG]
[prompt5] Example 2: label=Faces, prediction=chair [✗ WRONG]
[prompt5] Example 3: label=Faces, prediction=Window [✗ WRONG]
[prompt5] Example 4: label=Faces, prediction=Man wearing blue shirt. [✗ WRONG]
[prompt5] Example 5: label=Faces, prediction=Bookshelf [✗ WRONG]
[prompt5] Example 6: label=Faces, prediction=Man standing outside. [✗ WRONG]
[prompt5] Example 7: label=Faces, prediction=Desk, chair, computer. [✗ WRONG]
[prompt5] Example 8: label=Faces, prediction=Person with red hair. [✗ WRONG]
[prompt5] Example 9: label=Faces, prediction=Monitor, keyboard, mouse [✗ WRONG]
[prompt5] Example 10: label=Faces, prediction=Bookshelf [✗ WRONG]
[prompt5] Example 11: label=Faces, prediction=Person [✗ WRONG]
[prompt5] Example 12: label=Faces, prediction=Person [✗ WRONG]
[prompt5] Example 13: label=Faces, prediction=Man with blue eyes. [✗ WRONG]
[prompt5] Example 14: label=Faces, prediction=Man with brown hair and blue eyes. [✗ WRONG]
[prompt5] Example 15: label=Faces, prediction=Mugshot [✗ WRONG]
[prompt5] Example 16: label=Faces, prediction=Bookshelf [✗ WRONG]
[prompt5] Example 17: label=Faces, prediction=Whiteboard with equations. [✗ WRONG]
[prompt5] Example 18: label=Faces, prediction=Paperboard box [✗ WRONG]
[prompt5] Example 19: label=Faces, prediction=Woman with short hair. [✗ WRONG]
[prompt5] Example 20: label=Faces, prediction=Woman with short hair. [✗ WRONG]
[prompt5] Example 21: label=Faces, prediction=Woman with earrings [✗ WRONG]
[prompt5] Example 22: label=Faces, prediction=Woman with short hair. [✗ WRONG]
[prompt5] Example 23: label=Faces, prediction=Woman with short hair. [✗ WRONG]
[prompt5] Example 24: label=Faces, prediction=Woman smiling [✗ WRONG]
[prompt5] Example 25: label=Faces, prediction=Woman with short hair [✗ WRONG]
[prompt5] Example 26: label=Faces, prediction=Person [✗ WRONG]
[prompt5] Example 27: label=Faces, prediction=Man wearing tie. [✗ WRONG]
[prompt5] Example 28: label=Faces, prediction=Man wearing tie. [✗ WRONG]
[prompt5] Example 29: label=Faces, prediction=Man wearing tie. [✗ WRONG]
[prompt5] Example 30: label=Faces, prediction=Tie [✗ WRONG]
[prompt5] Example 31: label=Faces, prediction=Computer monitor [✗ WRONG]
[prompt5] Example 32: label=Faces, prediction=Tie [✗ WRONG]
[prompt5] Example 33: label=Faces, prediction=Computer monitor [✗ WRONG]
[prompt5] Example 34: label=Faces, prediction=Face [✗ WRONG]
[prompt5] Example 35: label=Faces, prediction=Woman with brown hair [✗ WRONG]
[prompt5] Example 36: label=Faces, prediction=Person [✗ WRONG]
[prompt5] Example 37: label=Faces, prediction=oven [✗ WRONG]
[prompt5] Example 38: label=Faces, prediction=Door. [✗ WRONG]
[prompt5] Example 39: label=Faces, prediction=The object is a "logo." [✗ WRONG]
[prompt5] Example 40: label=Faces, prediction=directory [✗ WRONG]
[prompt5] Example 41: label=Faces, prediction=Man with beard [✗ WRONG]
[prompt5] Example 42: label=Faces, prediction=Person [✗ WRONG]
[prompt5] Example 43: label=Faces, prediction=File cabinet [✗ WRONG]
[prompt5] Example 44: label=Faces, prediction=Man with goatee [✗ WRONG]
[prompt5] Example 45: label=Faces, prediction=Bookshelf. [✗ WRONG]
[prompt5] Example 46: label=Faces, prediction=Window, door, cabinet [✗ WRONG]
[prompt5] Example 47: label=Faces, prediction=Man wearing glasses. [✗ WRONG]
[prompt5] Example 48: label=Faces, prediction=Woman with blonde hair. [✗ WRONG]
[prompt5] Example 49: label=Faces, prediction=Woman with brown hair. [✗ WRONG]
[prompt5] Example 50: label=Faces, prediction=Woman with brown hair. [✗ WRONG]
[prompt5] Example 51: label=Faces, prediction=Woman with blonde hair [✗ WRONG]
[prompt5] Example 52: label=Faces, prediction=Woman with blonde hair [✗ WRONG]
[prompt5] Example 53: label=Faces, prediction=Camera [✗ WRONG]
[prompt5] Example 54: label=Faces, prediction=Man with beard. [✗ WRONG]
[prompt5] Example 55: label=Faces, prediction=Man with beard [✗ WRONG]
[prompt5] Example 56: label=Faces, prediction=Computer tower [✗ WRONG]
[prompt5] Example 57: label=Faces, prediction=Computer monitor [✗ WRONG]
[prompt5] Example 58: label=Faces, prediction=Man with beard [✗ WRONG]
[prompt5] Example 59: label=Faces, prediction=Bookshelf [✗ WRONG]
[prompt5] Example 60: label=Faces, prediction=Directory sign [✗ WRONG]
[prompt5] Example 61: label=Faces, prediction=Chair [✗ WRONG]
[prompt5] Example 62: label=Faces, prediction=Picture frame [✗ WRONG]
[prompt5] Example 63: label=Faces, prediction=Man with smile [✗ WRONG]
[prompt5] Example 64: label=Faces, prediction=Woman's restroom sign. [✗ WRONG]
[prompt5] Example 65: label=Faces, prediction=Man with dark hair and beard, wearing white shirt. [✗ WRONG]
[prompt5] Example 66: label=Faces, prediction=Man with beard [✗ WRONG]
[prompt5] Example 67: label=Faces, prediction=Bookshelf [✗ WRONG]
[prompt5] Example 68: label=Faces, prediction=Bookshelf [✗ WRONG]
[prompt5] Example 69: label=Faces, prediction=Person [✗ WRONG]
[prompt5] Example 70: label=Faces, prediction=Computer monitor [✗ WRONG]
[prompt5] Example 71: label=Faces, prediction=Mugshot [✗ WRONG]
[prompt5] Example 72: label=Faces, prediction=Door. [✗ WRONG]
[prompt5] Example 73: label=Faces, prediction=Person [✗ WRONG]
[prompt5] Example 74: label=Faces, prediction=Poster board [✗ WRONG]
[prompt5] Example 75: label=Faces, prediction=Book [✗ WRONG]
[prompt5] Example 76: label=Faces, prediction=World map [✗ WRONG]
[prompt5] Example 77: label=Faces, prediction=Clock [✗ WRONG]
[prompt5] Example 78: label=Faces, prediction=Baby crib [✗ WRONG]
[prompt5] Example 79: label=Faces, prediction=Pearl necklace [✗ WRONG]
[prompt5] Example 80: label=Faces, prediction=Buddha statue [✗ WRONG]
[prompt5] Example 81: label=Faces, prediction=Person wearing necklace. [✗ WRONG]
[prompt5] Example 82: label=Faces, prediction=Pearl necklace [✗ WRONG]
[prompt5] Example 83: label=Faces, prediction=Pearl necklace [✗ WRONG]
[prompt5] Example 84: label=Faces, prediction=Window frame. [✗ WRONG]
[prompt5] Example 85: label=Faces, prediction=Person, outdoor, park [✗ WRONG]
